episode,metric,N,K,Q,top1,top3,ts
0,cosine,5,5,10,0.3999999761581421,0.7999999523162842,1762981323
0,euclidean,5,5,10,0.19999998807907104,0.3999999761581421,1762981323
1,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981324
1,euclidean,5,5,10,0.19999998807907104,0.3999999761581421,1762981324
2,cosine,5,5,10,0.3999999761581421,0.3999999761581421,1762981324
2,euclidean,5,5,10,0.3999999761581421,1.0,1762981324
3,cosine,5,5,10,0.19999998807907104,0.7999999523162842,1762981324
3,euclidean,5,5,10,0.0,0.19999998807907104,1762981325
4,cosine,5,5,10,0.0,0.19999998807907104,1762981325
4,euclidean,5,5,10,0.3999999761581421,0.7999999523162842,1762981325
5,cosine,5,5,10,0.19999998807907104,0.3999999761581421,1762981325
5,euclidean,5,5,10,0.3999999761581421,0.5999999642372131,1762981325
6,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981325
6,euclidean,5,5,10,0.19999998807907104,1.0,1762981325
7,cosine,5,5,10,0.19999998807907104,0.7999999523162842,1762981325
7,euclidean,5,5,10,0.19999998807907104,0.3999999761581421,1762981325
8,cosine,5,5,10,0.3999999761581421,0.3999999761581421,1762981325
8,euclidean,5,5,10,0.3999999761581421,0.5999999642372131,1762981325
9,cosine,5,5,10,0.3999999761581421,0.7999999523162842,1762981325
9,euclidean,5,5,10,0.3999999761581421,0.3999999761581421,1762981325
10,cosine,5,5,10,0.19999998807907104,0.3999999761581421,1762981325
10,euclidean,5,5,10,0.3999999761581421,0.3999999761581421,1762981325
11,cosine,5,5,10,0.3999999761581421,0.3999999761581421,1762981325
11,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981325
12,cosine,5,5,10,0.19999998807907104,0.5999999642372131,1762981325
12,euclidean,5,5,10,0.19999998807907104,0.19999998807907104,1762981325
13,cosine,5,5,10,0.19999998807907104,0.5999999642372131,1762981325
13,euclidean,5,5,10,0.3999999761581421,0.3999999761581421,1762981325
14,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981325
14,euclidean,5,5,10,0.19999998807907104,0.7999999523162842,1762981325
15,cosine,5,5,10,0.3999999761581421,0.5999999642372131,1762981325
15,euclidean,5,5,10,0.19999998807907104,0.19999998807907104,1762981325
16,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981326
16,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981326
17,cosine,5,5,10,0.0,0.0,1762981326
17,euclidean,5,5,10,0.3999999761581421,0.3999999761581421,1762981326
18,cosine,5,5,10,0.0,0.5999999642372131,1762981326
18,euclidean,5,5,10,0.0,0.5999999642372131,1762981326
19,cosine,5,5,10,0.3999999761581421,0.5999999642372131,1762981326
19,euclidean,5,5,10,0.19999998807907104,0.19999998807907104,1762981326
20,cosine,5,5,10,0.3999999761581421,0.5999999642372131,1762981326
20,euclidean,5,5,10,0.19999998807907104,0.3999999761581421,1762981326
21,cosine,5,5,10,0.19999998807907104,0.19999998807907104,1762981326
21,euclidean,5,5,10,0.3999999761581421,0.7999999523162842,1762981326
22,cosine,5,5,10,0.19999998807907104,0.3999999761581421,1762981326
22,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981326
23,cosine,5,5,10,0.3999999761581421,0.7999999523162842,1762981326
23,euclidean,5,5,10,0.19999998807907104,0.5999999642372131,1762981326
24,cosine,5,5,10,0.19999998807907104,0.5999999642372131,1762981326
24,euclidean,5,5,10,0.0,0.7999999523162842,1762981326
25,cosine,5,5,10,0.3999999761581421,0.5999999642372131,1762981326
25,euclidean,5,5,10,0.19999998807907104,0.19999998807907104,1762981326
